,Id,SubActivity,MainActivity,MainIndustry
379,3320,"Manufacture of electronic instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment",Manufacture Medical & Precision Instruments,"Manufacture of Machinery, Electrical"
382,3320,"Manufacture of non-electronic instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment",Manufacture Medical & Precision Instruments,"Manufacture of Machinery, Electrical"
390,3320,"Manufacture of non-electronic instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment",Manufacture Medical & Precision Instruments,"Manufacture of Machinery, Electrical"
380,3330,Manufacture of electronic industrial process control equipment,Manufacture Medical & Precision Instruments,"Manufacture of Machinery, Electrical"
383,3330,Manufacture of non-electronic industrial process control equipment,Manufacture Medical & Precision Instruments,"Manufacture of Machinery, Electrical"
387,3340,Manufacture of spectacles and unmounted lenses,Manufacture Medical & Precision Instruments,"Manufacture of Machinery, Electrical"
388,3340,Manufacture of optical precision instruments,Manufacture Medical & Precision Instruments,"Manufacture of Machinery, Electrical"
392,3340,Manufacture of photographic and cinematographic equipment,Manufacture Medical & Precision Instruments,"Manufacture of Machinery, Electrical"
384,3350,Manufacture of watches and clocks,Manufacture Medical & Precision Instruments,"Manufacture of Machinery, Electrical"
451,3410,Manufacture of motor vehicles,Manufacture of Transport Equipment,Manufacture of Transport Equipment
466,3420,Manufacture of bodies (coachwork) for motor vehicles (except caravans),Manufacture of Transport Equipment,Manufacture of Transport Equipment
467,3420,Manufacture of trailers and semi-trailers,Manufacture of Transport Equipment,Manufacture of Transport Equipment
468,3420,Manufacture of caravans,Manufacture of Transport Equipment,Manufacture of Transport Equipment
416,3430,Manufacture of parts and accessories for motor vehicles and their engines,Manufacture of Transport Equipment,Manufacture of Transport Equipment
473,3511,Building and repairing of ships,Manufacture of Other Transport Equipment,Manufacture of Transport Equipment
