"","Source","Target","weight","SubActivity_StartIndst","SubActivity_FinalIndst","MainActivity_StartIndst","MainActivity_FinalIndst","MainIndustry_StartIndst","MainIndustry_FinalIndst","Counts"
"139","7140","8010",-0.479572769530677,"Renting of sporting and recreational equipment,Renting of records and other pre-recorded media,Renting of video tapes and DVDs,Renting of radios, televisions and video recorders and DVD players, Renting of other personal and household goods not elsewhere classified","Primary education","NA","NA","NA","NA",21
"140","2851","8010",-0.392442933743623,"Treatment and coating of metals","Primary education","NA","NA","NA","NA",10
"141","6322","8010",-0.437316391320753,"Other supporting water transport activities","Primary education","NA","NA","NA","NA",15
"142","5131","8010",-0.39474144645989,"Wholesale of fruit and vegetables","Primary education","NA","NA","NA","NA",14
"143","9252","8010",0.0984934963116393,"Museums activities,Preservation of historical sites and buildings","Primary education","NA","NA","NA","NA",52
"144","8520","8010",-0.162834275023951,"Veterinary activities","Primary education","NA","NA","NA","NA",18
"145","4542","8010",-0.624118321940488,"Joinery installation","Primary education","NA","NA","NA","NA",10
"146","3511","8010",-0.476805934878092,"Building and repairing of ships","Primary education","NA","NA","NA","NA",10
"147","9231","8010",-0.239091016504161,"Live theatrical presentations,Other artistic and literary creation and interpretation,Library and archives activities","Primary education","NA","NA","NA","NA",15
"148","9251","8010",0.652310448155314,"","Primary education","","NA","","NA",330
"149","7250","8010",-0.727680635736345,"Maintenance and repair of office, accounting and computing machinery","Primary education","NA","NA","NA","NA",10
"150","5233","8010",-0.376342066175538,"Retail sale of cosmetic and toilet articles","Primary education","NA","NA","NA","NA",22
"151","1551","8010",-0.5501717962303,"Liquid milk and cream production,Butter and cheese production Manufacture of other milk products","Primary education","NA","NA","NA","NA",15
"152","7481","8010",-0.300162238064227,"Portrait photographic activities,Other specialist photography,Film processing,Photographic activities not elsewhere classified","Primary education","NA","NA","NA","NA",14
"153","9112","8010",-0.269327672500495,"Activities of professional organizations","Primary education","NA","NA","NA","NA",20
"154","112","8010",-0.188775563461413,"","Primary education","","NA","","NA",15
"155","9272","8010",0.351879158371903,"Other recreational activities not elsewhere classified, Motion picture, television and other theatrical casting","Primary education","NA, NA","NA","NA, NA","NA",158
"156","5187","8010",-0.692921544248714,"Wholesale of other machinery for use in industry, trade and navigation","Primary education","NA","NA","NA","NA",13
"157","1512","8010",-0.537102375668856,"Production and preserving of poultry meat","Primary education","NA","NA","NA","NA",14
"158","1772","8010",-0.340245767921759,"Manufacture of knitted and crocheted pullovers, cardigans and similar articles","Primary education","NA","NA","NA","NA",10
"159","5551","8010",0.498990455513537,"Canteens","Primary education","NA","NA","NA","NA",191
"160","6023","8010",-0.345358706286597,"Renting of buses and coaches, Other land passenger transport n.e.c.","Primary education","NA","NA","NA","NA",10
"161","5225","8010",-0.114771595188227,"Retail sale of alcoholic and other beverages","Primary education","NA","NA","NA","NA",23
"162","141","8010",-0.0410541523054465,"","Primary education","","NA","","NA",22
"163","1520","8010",-0.139988279952991,"Freezing of fish Other fish processing and preserving","Primary education","NA","NA","NA","NA",17
"164","9303","8010",0.121201722565846,"Funeral and related activities","Primary education","NA","NA","NA","NA",27
"165","5250","8010",-0.377013571183112,"Retail sale of antiques, including antique books, in stores, Retail sale of other second-hand goods in stores","Primary education","NA, NA","NA","NA, NA","NA",13
"166","5523","8010",-0.0962786588195884,"Holiday centres and holiday villages, Other self-catering holiday accommodation,Other tourist or short-stay accommodation","Primary education","NA","NA","NA","NA",25
"167","2742","8010",-0.147584772828452,"Aluminium production","Primary education","NA","NA","NA","NA",16
"168","9111","8010",-0.184756612084164,"Activities of business and employers' organizations","Primary education","NA","NA","NA","NA",10
"169","5241","8010",-0.361103819385837,"Retail sale of textiles","Primary education","NA","NA","NA","NA",10
"170","4545","8010",-0.30517518048701,"Other building completion","Primary education","NA","NA","NA","NA",12
"171","5227","8010",-0.243711210879314,"Other retail sale of food, beverages and tobacco in specialised stores","Primary education","NA","NA","NA","NA",17
"172","9002","8010",0.0467369026904073,"Collection and treatment of other waste","Primary education","NA","NA","NA","NA",20
"173","7486","8010",-0.577614920959109,"Call centre activities","Primary education","NA","NA","NA","NA",19
"174","5190","8010",-0.398785036228206,"Other wholesale","Primary education","NA","NA","NA","NA",16
"175","6022","8010",0.192503479118359,"Taxi operation","Primary education","NA","NA","NA","NA",10
"176","9213","8010",-0.0275411121041326,"Motion picture projection","Primary education","NA","NA","NA","NA",22
"177","7514","8010",0.05790064041507,"Supporting service activities for the government as a whole","Primary education","NA","NA","NA","NA",18
"178","5522","8010",0.00519083936277375,"Camping sites, including caravan sites","Primary education","NA","NA","NA","NA",10
"179","9232","8010",0.268550966446848,"Operation of arts facilities","Primary education","NA","NA","NA","NA",24
"180","9253","8010",0.151797393182127,"Botanical and zoological gardens and nature reserves activities","Primary education","NA","NA","NA","NA",13
"181","9233","8010",0.382677841426063,"Fair and amusement park activities","Primary education","NA","NA","NA","NA",11
"182","9132","8010",0.3766852507738,"Activities of political organizations","Primary education","NA","NA","NA","NA",12
"183","6602","8010",0.207504333709434,"Pension funding","Primary education","NA","NA","NA","NA",10
"184","9500","8010",0.473948800672696,"Activities of households as employers of domestic staff","Primary education","NA","NA","NA","NA",16
"185","9304","8010",0.248512914375818,"Physical well-being activities","Primary education","NA","NA","NA","NA",13
"186","5262","8010",0.411727530984245,"Retail sale via stalls and markets","Primary education","NA","NA","NA","NA",12
"187","9234","8010",0.613417458792049,"Other entertainment activities not elsewhere classified, Dance halls and dancing instructor activities","Primary education","NA, NA","NA","NA, NA","NA",10
"188","8010","8511",-0.476942681339281,"Primary education","Public sector hospital activities, including NHS trusts, Private sector hospital activities,Medical nursing home activities","NA","NA","NA","NA",1059
"189","8511","8511",1,"Public sector hospital activities, including NHS trusts, Private sector hospital activities,Medical nursing home activities","Public sector hospital activities, including NHS trusts, Private sector hospital activities,Medical nursing home activities","NA","NA","NA","NA",35081
